Sample,X_train
157,[1.87537829]
158,[1.5397733]
159,[0.53895306]
160,[1.72948489]
161,[2.48699362]
162,[0.69095986]
163,[0.10490495]
164,[1.3484796]
165,[1.00195608]
166,[0.33597679]
167,[1.49505361]
168,[0.82483048]
169,[1.18256537]
170,[0.35873394]
171,[1.42516656]
172,[1.21152471]
173,[2.28988239]
174,[0.26757001]
175,[1.8331525]
176,[2.39105015]
177,[1.4712599]
178,[1.80335843]
179,[1.38718457]
180,[1.65958501]
181,[0.54586411]
182,[0.47955354]
183,[0.47445963]
184,[1.90057533]
185,[1.14204157]
186,[2.1611858]
187,[0.6743382]
188,[1.85855101]
189,[1.09237673]
190,[0.51293714]
191,[0.90982295]
192,[1.99224484]
193,[0.29330187]
194,[1.55790909]
195,[1.51606648]
196,[1.63405081]
197,[1.01947214]
198,[1.25987564]
199,[2.09881874]
200,[2.13336794]
201,[0.66582521]
202,[0.07289838]
203,[2.25858229]
204,[0.44004139]
205,[2.39511797]
206,[0.6665049]
207,[0.3392153]
208,[1.39127211]
209,[1.41608277]
210,[1.56782974]
211,[2.47437016]
212,[0.17310005]
213,[0.17793587]
214,[1.69276455]
215,[0.58700597]
216,[1.79149404]
217,[1.24312357]
218,[1.24499789]
219,[0.15266858]
220,[2.17251919]
221,[2.29349733]
222,[2.19996488]
223,[1.5670842]
224,[2.28869952]
225,[2.45796625]
226,[1.12384929]
227,[0.60479083]
228,[1.92987967]
229,[2.47925046]
230,[1.98008942]
231,[0.51101879]
232,[0.09174208]
233,[1.7597929]
234,[1.9071026]
235,[1.1256524]
236,[0.74315309]
237,[0.91618062]
238,[2.21192548]
239,[0.26816657]
240,[1.75990799]
241,[2.32016736]
242,[0.17705432]
243,[1.06266677]
244,[0.1247818]
245,[1.14722562]
246,[0.3465657]
247,[2.12085348]
248,[1.02556216]
249,[0.34835891]
250,[0.00825232]
251,[1.36064126]
252,[0.14303502]
253,[2.44389317]
254,[0.55043644]
255,[2.10709914]
256,[2.48488803]
257,[1.96537905]
258,[0.43799021]
259,[1.87349467]
260,[0.74214459]
261,[2.33764396]
262,[1.77073109]
263,[1.03247305]
264,[2.31218427]
265,[2.02258766]
266,[1.54572525]
267,[1.40016451]
268,[0.94112099]
269,[1.26805485]
270,[0.53473643]
271,[2.46882444]
272,[1.18718883]
273,[0.88665286]
274,[0.07688703]
275,[1.34466825]
276,[0.11419963]
277,[0.58385586]
278,[0.59819642]
279,[1.42693072]
280,[1.95733771]
281,[1.30031577]
282,[1.36087461]
283,[2.46905876]
284,[1.08191833]
285,[1.04102449]
286,[0.78425596]
287,[1.05011338]
288,[0.72747209]
289,[1.19582933]
290,[1.22612782]
291,[2.24904771]
292,[1.15334971]
293,[1.96422985]
294,[0.63869261]
295,[1.55458668]
296,[1.28366756]
297,[0.56362265]
298,[0.5719198]
299,[0.47711641]
300,[0.95293222]
301,[0.6028897]
302,[0.22027073]
303,[1.61928531]
304,[1.83362854]
305,[0.74019939]
306,[2.37902097]
307,[1.69197179]
308,[2.18982677]
309,[1.17813257]
310,[0.41269846]
311,[0.46148776]
312,[0.70696814]
313,[0.89726096]
314,[1.30052319]
315,[1.45276156]
316,[1.21602303]
317,[1.2219311]
318,[1.18761965]
319,[1.14673088]
320,[1.48255011]
321,[1.5607572]
322,[1.93482452]
323,[0.51415252]
324,[0.40505691]
325,[0.89662096]
326,[2.35605544]
327,[1.3618865]
328,[2.06172196]
329,[2.39768829]
330,[1.45682885]
331,[1.12753534]
332,[1.14840666]
333,[2.44958693]
334,[1.54894931]
335,[1.84598332]
336,[1.15430728]
337,[0.32811771]
338,[0.64202947]
339,[1.65960455]
340,[0.89150837]
341,[0.85705099]
342,[2.01035508]
343,[0.19719]
344,[1.88629242]
345,[0.54907477]
346,[0.95636912]
347,[1.1242529]
348,[1.74557922]
349,[2.25185626]
350,[2.35464047]
351,[0.54601419]
352,[0.99136061]
353,[1.79931409]
354,[1.58200727]
355,[1.40304697]
356,[1.34611426]
357,[0.22770883]
358,[0.37356824]
359,[0.78276933]
360,[1.94420292]
361,[1.66618567]
362,[2.49826175]
363,[2.06456329]
364,[2.3583436]
365,[0.46796798]
366,[2.44922305]
367,[1.53628048]
368,[1.44638973]
369,[2.03924313]
370,[1.86781965]
371,[2.20367747]
372,[0.74299648]
373,[1.19863614]
374,[0.49551366]
375,[2.14092103]
376,[0.52028942]
377,[0.53528183]
378,[0.31218305]
379,[2.37365935]
380,[1.80274381]
381,[1.70108079]
382,[1.66270826]
383,[1.898993]
384,[0.62432066]
385,[1.02366504]
386,[0.61687982]
387,[1.43533171]
388,[0.3103406]
389,[0.19214861]
390,[0.15212116]
391,[0.64961703]
392,[1.64231815]
393,[1.86743281]
394,[1.48120414]
395,[1.74203125]
396,[0.21605933]
397,[1.66063816]
398,[2.19791246]
399,[0.05380572]
400,[1.25644881]
401,[0.48516693]
402,[1.47995723]
403,[0.51370656]
404,[0.3597046]
405,[1.77584041]
406,[0.8837457]
407,[0.4286919]
408,[2.18575146]
409,[1.93374199]
410,[0.06634383]
411,[0.91004239]
412,[0.21512682]
413,[0.63021746]
414,[2.45172957]
415,[1.25528252]
416,[1.51571005]
417,[1.1969456]
418,[0.80474771]
419,[2.20700984]
420,[1.18693014]
421,[0.14766151]
422,[0.67277576]
423,[0.98281117]
424,[0.56013354]
425,[1.41949444]
426,[0.39167244]
427,[2.35564792]
428,[0.6315026]
429,[0.90232495]
430,[2.13922777]
431,[0.7625582]
432,[1.94339504]
433,[1.95981465]
434,[1.72886436]
435,[1.1985068]
436,[1.60613904]
437,[2.12984732]
438,[1.91148946]
439,[1.52838936]
440,[0.07801426]
441,[1.26946336]
442,[0.392919]
443,[0.08017422]
444,[2.28946568]
445,[0.31165361]
446,[1.86419234]
447,[0.39749214]
448,[1.72818823]
449,[2.36569734]
450,[1.96052076]
451,[2.4181325]
452,[0.54015539]
453,[2.24869162]
454,[1.7050966]
455,[0.91261856]
456,[1.12774644]
457,[2.3194041]
458,[0.94013472]
459,[2.21081683]
460,[1.9698316]
461,[0.11694845]
462,[0.39604036]
463,[0.11794065]
464,[1.75509653]
465,[1.18062875]
466,[1.04631289]
467,[1.62287841]
468,[0.162054]
469,[1.90988409]
470,[2.21605569]
471,[2.10606147]
472,[2.34492541]
473,[2.42487808]
474,[1.92235922]
475,[1.05340197]
476,[1.57412026]
477,[1.39381399]
478,[0.25057269]
479,[1.15049264]
480,[1.09820706]
481,[2.32203783]
482,[1.10740011]
483,[0.4575479]
484,[0.72763669]
485,[2.29019702]
486,[1.06789381]
487,[1.71112414]
488,[1.4788989]
489,[0.41186169]
490,[1.00216919]
491,[0.44292425]
492,[1.62150379]
493,[0.80336561]
494,[2.21295211]
495,[1.5003743]
496,[0.36062982]
497,[1.27121908]
498,[0.04844651]
499,[2.24666289]
500,[2.11376935]
501,[1.79948866]
502,[1.09794881]
503,[1.49020874]
504,[2.36656244]
505,[0.11622993]
506,[1.92185924]
507,[0.84704919]
508,[1.45198163]
509,[1.70352006]
510,[0.49956302]
511,[1.9744738]
512,[1.1853627]
513,[1.31587895]
514,[1.05814516]
515,[1.30944343]
516,[1.01938017]
517,[1.01714277]
518,[2.09607107]
519,[0.25306491]
520,[0.87910497]
521,[2.12045942]
522,[2.24732019]
523,[1.91711679]
524,[1.26240819]
525,[0.08415175]
526,[1.50459136]
527,[1.34299748]
528,[0.67740656]
529,[1.11653444]
530,[2.2866202]
531,[1.6099403]
532,[0.75556759]
533,[1.45053606]
534,[1.6612139]
535,[1.19925339]
536,[2.29891602]
537,[0.34145531]
538,[1.34718516]
539,[1.55295267]
540,[1.9239597]
541,[2.26129659]
542,[1.76761318]
543,[2.13663184]
544,[0.15723246]
545,[2.04932231]
546,[2.46200353]
547,[1.44146852]
548,[2.10790612]
549,[1.16831679]
550,[0.16124336]
551,[1.49711348]
552,[0.76831657]
553,[1.91457126]
554,[1.75326984]
555,[0.97074711]
556,[0.37797071]
557,[0.53747985]
558,[2.09162192]
559,[0.44586426]
560,[0.71560222]
561,[0.49669593]
562,[1.37234881]
563,[0.64155883]
564,[1.33748382]
565,[1.22945451]
566,[1.99032454]
567,[1.49133495]
568,[0.48403636]
569,[0.88440258]
570,[1.93569609]
571,[0.65920571]
572,[0.27513604]
573,[1.3309936]
574,[2.41168151]
575,[0.83649967]
576,[1.79967766]
577,[0.18822586]
578,[0.25730421]
579,[1.23741904]
580,[2.23321727]
581,[1.46584404]
582,[2.19275529]
583,[0.84561177]
584,[0.06687311]
585,[0.02377713]
586,[1.14474962]
587,[0.81268252]
588,[0.21579168]
589,[0.83761432]
590,[2.41335144]
591,[0.3442311]
592,[1.03830145]
593,[0.52893309]
594,[2.49002206]
595,[2.23540078]
596,[1.22396281]
597,[1.14782935]
598,[0.32063656]
599,[0.63302194]
600,[2.35955457]
601,[0.63002434]
602,[1.61456406]
603,[0.13880395]
604,[0.79183478]
605,[1.92664134]
606,[0.42837799]
607,[2.46421805]
608,[1.77190344]
609,[0.7066378]
610,[0.58485966]
611,[1.50954409]
612,[0.06279562]
613,[0.33472729]
614,[1.24674758]
615,[0.50721072]
616,[2.25340721]
617,[1.19457587]
618,[0.70108038]
619,[0.48015566]
620,[0.14792263]
621,[1.85824526]
622,[2.11669238]
623,[1.15976346]
624,[1.83062902]
625,[2.36157015]
626,[1.18815212]
627,[1.66822696]
628,[2.28514106]
629,[0.53960111]
630,[1.31052456]
631,[0.0055111]
632,[1.6037807]
633,[0.38470489]
634,[1.61431643]
635,[0.49783791]
636,[0.63584325]
637,[0.27174441]
638,[0.09081097]
639,[2.13783261]
640,[0.27564824]
641,[1.90329199]
642,[0.3661218]
643,[1.77282075]
644,[1.97999784]
645,[2.26269041]
646,[0.35754084]
647,[1.96578377]
648,[1.89293756]
649,[1.76238408]
650,[1.92319437]
651,[0.81574963]
652,[2.4771816]
653,[2.40920443]
654,[1.15090543]
655,[0.38457346]
656,[1.27047614]
657,[1.74008439]
658,[0.25619091]
659,[1.56346563]
660,[1.2841591]
661,[2.19333194]
662,[2.12485458]
663,[0.46526119]
664,[0.80015201]
665,[0.57447627]
666,[0.33281339]
667,[0.0809142]
668,[0.74062974]
669,[1.86533893]
670,[1.32995162]
671,[1.2905215]
672,[1.47212861]
673,[2.40127668]
674,[2.49974865]
675,[0.26984815]
676,[0.31561089]
677,[1.51393469]
678,[0.29902116]
679,[0.07478851]
680,[0.91396538]
681,[2.3226682]
682,[0.34817047]
683,[1.80538566]
684,[1.27805381]
685,[1.79379326]
686,[0.88777509]
687,[1.71234513]
688,[1.92622418]
689,[2.09220477]
690,[1.36153008]
691,[1.55422279]
692,[0.05913074]
693,[0.63657588]
694,[0.96209615]
695,[1.83254115]
696,[1.69850006]
697,[0.67238984]
698,[1.91104331]
699,[2.05822961]
700,[1.29423482]
701,[0.62794338]
702,[1.57806041]
703,[0.94062822]
704,[2.318983]
705,[0.62245617]
706,[2.11831766]
707,[0.4306948]
708,[0.83617774]
709,[1.89249749]
710,[0.56359456]
711,[1.75228833]
712,[2.14662376]
713,[2.07910788]
714,[1.95133594]
715,[1.763095]
716,[1.69554162]
717,[1.81601593]
718,[2.45599617]
719,[1.01971661]
720,[1.85418359]
721,[1.10161337]
722,[0.85774938]
723,[1.90012668]
724,[0.5684671]
725,[0.51040837]
726,[1.42238573]
727,[0.39362292]
728,[0.16970527]
729,[1.57061419]
730,[0.66032104]
731,[0.79293224]
732,[2.25838997]
733,[0.7762955]
734,[0.51233119]
735,[0.6427451]
736,[2.34609324]
737,[2.42683404]
738,[2.01362232]
739,[0.63084072]
740,[1.27425178]
741,[0.1434741]
742,[0.4405855]
743,[1.09175214]
744,[0.34672611]
745,[0.75170822]
746,[0.77641913]
747,[2.26519111]
748,[0.08505184]
749,[2.21349813]
750,[0.77258363]
751,[0.73287132]
752,[1.94348309]
753,[2.22880449]
754,[0.0235533]
755,[2.48167325]
756,[0.87124333]
757,[1.1722353]
758,[0.00265519]
759,[0.38799437]
760,[1.82074888]
761,[1.68098615]
762,[2.34793192]
763,[1.64934391]
764,[1.04744118]
765,[1.04727764]
766,[1.49326191]
767,[0.42101968]
768,[0.12319501]
769,[1.65540272]
770,[1.631236]
771,[1.59210003]
772,[1.59573847]
773,[0.33675066]
774,[1.67474897]
775,[0.75357254]
776,[0.4754136]
777,[1.59873566]
778,[0.97997531]
779,[1.19207871]
780,[1.55587443]
781,[2.30740432]
782,[1.69982744]
783,[0.64959738]
784,[0.7983114]
785,[1.09559166]
786,[2.3274384]
787,[2.04567454]
788,[1.67214254]
789,[1.37182658]
790,[0.2468123]
791,[2.33090577]
792,[1.00753006]
793,[1.56492171]
794,[1.38294753]
795,[0.80848256]
796,[0.72158363]
797,[1.31498681]
798,[1.45611519]
799,[1.0027951]
800,[2.0739594]
801,[0.27107833]
802,[2.44978468]
803,[1.406645]
804,[1.58730562]
805,[1.51306594]
806,[0.8505163]
807,[1.93947833]
808,[1.71930141]
809,[0.74234653]
810,[0.79695246]
811,[1.96013191]
812,[0.47824763]
813,[0.73254004]
814,[1.10668822]
815,[1.20530797]
816,[0.1734137]
817,[2.49681227]
818,[1.50860855]
819,[0.52386665]
820,[1.06632414]
821,[1.40732709]
822,[0.12108528]
823,[0.69626559]
824,[1.16490969]
825,[1.37418573]
826,[1.37139879]
827,[0.16726288]
828,[1.55308495]
829,[1.94829154]
830,[2.36076433]
831,[1.51873611]
832,[0.35355761]
833,[1.04718325]
834,[1.0480017]
835,[1.65665068]
836,[0.16394788]
837,[0.20623317]
838,[0.6525247]
839,[0.56801338]
840,[1.07161039]
841,[1.70334883]
842,[1.42744896]
843,[1.30523296]
844,[0.86205527]
845,[2.28688973]
846,[2.14929309]
847,[0.41848862]
848,[1.00009071]
849,[1.9540418]
850,[0.80834204]
851,[0.44831035]
852,[2.27696878]
853,[0.1403034]
854,[1.05764395]
855,[2.15463227]
856,[0.63567739]
857,[2.25244587]
858,[1.10598775]
859,[2.05300462]
860,[1.6988016]
861,[0.63609915]
862,[1.54436105]
863,[1.83510396]
864,[1.0735763]
865,[2.21631355]
866,[0.27041662]
867,[0.76544165]
868,[0.28705628]
869,[0.94261393]
870,[0.97550549]
871,[1.09753482]
872,[1.728569]
873,[0.15478764]
874,[2.49805011]
875,[1.33630839]
876,[2.30209635]
877,[0.03796689]
878,[0.56898986]
879,[2.4537847]
880,[0.9649885]
881,[2.3820254]
882,[0.48212652]
883,[1.37834963]
884,[0.19900394]
885,[0.36047515]
886,[1.44825868]
887,[2.02529033]
888,[1.02528369]
889,[1.11846082]
890,[1.99679068]
891,[2.23657411]
892,[0.52759992]
893,[0.94831497]
894,[2.08707754]
895,[1.41024653]
896,[0.04404414]
897,[2.36903666]
898,[1.27553655]
899,[1.13344032]
900,[1.88165058]
901,[1.11284462]
902,[0.7793622]
903,[1.06732817]
904,[0.56600843]
905,[2.27761687]
906,[1.61404879]
907,[2.074966]
908,[0.95351213]
909,[0.20546417]
910,[1.09771595]
911,[2.16501454]
912,[1.86450647]
913,[1.55901945]
914,[1.4133018]
915,[2.11245169]
916,[0.54206927]
917,[0.00853673]
918,[0.22292229]
919,[2.39552137]
920,[0.85308698]
921,[0.31245331]
922,[2.17735862]
923,[1.50690375]
924,[1.32755604]
925,[0.40980637]
926,[0.07984065]
927,[1.88548013]
928,[1.50380224]
929,[0.38422219]
930,[2.40163666]
931,[1.32312662]
932,[1.04198199]
933,[2.28481748]
934,[0.91798519]
935,[0.8736536]
936,[0.65884836]
937,[0.76137373]
938,[0.08549874]
939,[0.09452092]
940,[2.1288907]
941,[1.96179253]
942,[0.10869323]
943,[1.79850488]
944,[1.62446149]
945,[2.15363514]
946,[1.47926147]
947,[1.45746611]
948,[0.28445798]
949,[0.30195941]
950,[2.41653657]
951,[2.49366395]
952,[2.35058281]
953,[0.54724276]
954,[1.31929748]
955,[0.14836218]
956,[0.59771352]
957,[1.67918714]
958,[0.95462908]
959,[1.85605983]
960,[1.77854262]
961,[1.40220927]
962,[0.52004452]
963,[2.08102442]
964,[2.24314039]
965,[2.48022829]
966,[1.16051516]
967,[2.11069075]
968,[2.21550214]
969,[0.68088682]
970,[2.12257686]
971,[0.14945715]
972,[2.41860661]
973,[2.19001964]
974,[0.22468818]
975,[1.58156747]
976,[1.70215331]
977,[2.49642903]
978,[2.32437278]
979,[2.49458484]
980,[0.57387933]
981,[0.51811181]
982,[0.96833357]
983,[2.24565786]
984,[1.28643394]
985,[0.92346978]
986,[0.98847378]
987,[0.76867522]
988,[1.21169705]
989,[0.44328335]
990,[0.04835407]
991,[0.81919768]
992,[0.93402548]
993,[0.40484057]
994,[0.49191746]
995,[0.141039]
996,[1.10806539]
997,[1.38194927]
998,[0.95994121]
999,[1.66665349]
1000,[1.39225662]
1001,[0.36528266]
1002,[0.43307324]
1003,[1.8247097]
1004,[0.98690846]
1005,[1.11088446]
1006,[1.42793779]
1007,[2.35448487]
1008,[2.27596404]
1009,[0.00887241]
1010,[2.38316742]
1011,[1.24879435]
1012,[0.57147031]
1013,[0.69596666]
1014,[1.55542201]
1015,[2.46410001]
1016,[1.25210509]
1017,[1.27023527]
1018,[0.83163355]
1019,[1.16886786]
1020,[0.01415874]
1021,[1.65349368]
1022,[0.0005497]
1023,[1.29321202]
1024,[2.45228422]
1025,[1.57266079]
1026,[0.59752136]
1027,[0.38416704]
1028,[0.58452957]
1029,[1.81917848]
1030,[1.71852569]
1031,[0.88244165]
1032,[0.98393573]
1033,[0.71959266]
1034,[1.74490263]
1035,[0.07855388]
1036,[2.30221707]
1037,[2.11132125]
1038,[1.74138425]
1039,[1.13814154]
1040,[0.6533541]
1041,[1.03238293]
1042,[1.36694308]
1043,[1.89795192]
1044,[0.51463877]
1045,[0.01185571]
1046,[0.48183978]
1047,[2.17679146]
1048,[1.69833582]
1049,[2.45855606]
1050,[1.95490359]
1051,[2.28595214]
1052,[2.05073156]
1053,[1.67503997]
1054,[1.13173188]
1055,[1.44206369]
1056,[1.78313882]
1057,[0.27098377]
1058,[2.05603954]
1059,[1.40161041]
1060,[0.16404312]
1061,[0.31619393]
1062,[1.31364453]
1063,[0.6639839]
1064,[0.61563259]
1065,[0.99110646]
1066,[0.24246376]
1067,[0.66612719]
1068,[1.81552763]
1069,[0.42950829]
1070,[1.44433473]
1071,[2.17896065]
1072,[0.08956081]
1073,[1.80595746]
1074,[0.00613676]
1075,[0.56391857]
1076,[1.54032944]
1077,[0.65843998]
1078,[0.69759747]
1079,[0.00511542]
1080,[0.92395568]
1081,[1.64613343]
1082,[0.52591519]
1083,[1.4377617]
1084,[0.70520582]
1085,[0.18434644]
1086,[2.02164138]
1087,[0.93492333]
1088,[1.9782829]
1089,[0.18942697]
1090,[1.60904835]
1091,[0.17567727]
1092,[1.05842725]
1093,[0.70889487]
1094,[0.80965704]
1095,[0.75087766]
1096,[0.16845818]
1097,[0.00908457]
1098,[1.19711051]
1099,[0.55192717]
1100,[1.38599672]
1101,[0.44728698]
1102,[2.45458552]
1103,[0.38717845]
1104,[2.0275487]
1105,[1.6608717]
1106,[1.84697008]
1107,[2.20673984]
1108,[0.39658474]
1109,[0.83207712]
1110,[1.0384942]
1111,[2.43942237]
1112,[0.79374037]
1113,[0.70714132]
1114,[0.89962481]
1115,[1.58258658]
1116,[0.86312042]
1117,[0.60088001]
1118,[1.73100704]
1119,[1.91293689]
1120,[1.50773841]
1121,[1.30847729]
1122,[2.25582378]
1123,[0.10615714]
1124,[0.86419877]
1125,[1.76721038]
1126,[1.572447]
1127,[2.41227355]
1128,[0.06331598]
1129,[1.28631696]
1130,[2.05454365]
1131,[0.32357965]
1132,[1.54159445]
1133,[1.99934017]
1134,[1.83343774]
1135,[0.62267225]
1136,[1.23019073]
1137,[0.80584962]
1138,[2.00699922]
1139,[1.34866462]
1140,[1.11971719]
1141,[0.49167737]
1142,[1.41253226]
1143,[0.49084248]
1144,[0.9350529]
1145,[1.96374299]
1146,[1.72422081]
1147,[1.46765084]
1148,[0.13362221]
1149,[1.11137878]
1150,[0.31537921]
1151,[0.34331548]
1152,[0.03952923]
1153,[0.19245798]
1154,[2.04429864]
1155,[1.41462799]
1156,[0.79098962]
1157,[0.01335196]
1158,[0.43541298]
1159,[2.02131579]
1160,[1.83526892]
1161,[1.35210825]
1162,[0.72685525]
1163,[1.0622412]
1164,[0.94320045]
1165,[1.98915106]
1166,[0.08063721]
1167,[0.14284717]
1168,[1.17130176]
1169,[1.92653101]
1170,[2.3873001]
1171,[0.9444968]
1172,[1.35579684]
1173,[1.61772894]
1174,[1.23356415]
1175,[0.31504369]
1176,[2.43577159]
1177,[2.17790692]
1178,[0.73828955]
1179,[2.10277117]
1180,[2.39252592]
1181,[1.45899361]
1182,[1.20672474]
1183,[1.1750606]
1184,[1.0814821]
1185,[0.71227271]
1186,[1.1496103]
1187,[0.33543561]
1188,[1.42198695]
1189,[0.41654068]
1190,[1.0071735]
1191,[1.71453828]
1192,[1.07841665]
1193,[1.34186289]
1194,[1.80607515]
1195,[0.59697966]
1196,[1.07220957]
1197,[2.15929976]
1198,[2.33674529]
1199,[0.3616512]
1200,[2.3994827]
1201,[2.27189163]
1202,[1.34419167]
1203,[1.69531229]
1204,[0.14415692]
1205,[2.38329669]
1206,[1.11816535]
1207,[0.54043723]
1208,[2.42705182]
1209,[1.81464989]
1210,[0.10957836]
1211,[1.47402816]
1212,[2.20102785]
1213,[1.45649403]
1214,[0.47983069]
1215,[1.58063621]
1216,[1.16184796]
1217,[0.08613546]
1218,[0.49835832]
1219,[0.23999668]
1220,[0.85287242]
1221,[1.60290982]
1222,[2.10299882]
1223,[2.21417698]
1224,[0.51077774]
1225,[0.42168728]
1226,[0.49361539]
1227,[1.43645773]
1228,[0.41073496]
1229,[1.21676845]
1230,[2.42353091]
1231,[1.42897437]
1232,[1.31126802]
1233,[2.30295307]
1234,[1.72633688]
1235,[1.38102007]
1236,[1.7198297]
1237,[0.45888935]
1238,[1.07181942]
1239,[0.05796412]
1240,[0.23798088]
1241,[0.47421929]
1242,[0.72310414]
1243,[1.31994989]
1244,[0.93318227]
1245,[0.99942975]
1246,[2.12134239]
1247,[0.46164729]
1248,[2.29040223]
1249,[0.71812971]
1250,[2.36222848]
1251,[1.09364701]
1252,[2.22587275]
1253,[2.10912011]
1254,[2.0427184]
1255,[0.86449287]
1256,[2.0454168]
1257,[0.22199027]
1258,[2.30718351]
1259,[1.91549975]
1260,[1.01457737]
1261,[1.15561023]
1262,[2.12553367]
1263,[2.04443237]
1264,[0.75644706]
1265,[1.79312844]
1266,[2.28569741]
1267,[1.96402859]
1268,[2.19099498]
1269,[0.90962254]
1270,[0.88045115]
1271,[2.24802698]
1272,[1.10429013]
1273,[2.46062416]
1274,[0.11990906]
1275,[1.89772002]
1276,[1.78651996]
1277,[0.36723383]
1278,[1.37871326]
1279,[0.49412702]
1280,[2.25805043]
1281,[2.43916177]
1282,[1.95881986]
1283,[2.49909235]
1284,[1.69907239]
1285,[0.36632367]
1286,[1.55214411]
1287,[0.87768309]
1288,[0.71660061]
1289,[1.17699557]
1290,[1.69710794]
1291,[2.42677248]
1292,[0.28887209]
1293,[1.02168522]
1294,[2.46965194]
1295,[0.70512145]
1296,[2.08521336]
1297,[0.88573593]
1298,[0.44346531]
1299,[1.55047783]
1300,[1.53027143]
1301,[2.08248757]
1302,[0.98362401]
1303,[1.48932504]
1304,[2.32594396]
1305,[1.25492624]
1306,[2.3170856]
1307,[0.48868587]
1308,[0.5673166]
1309,[1.00034437]
1310,[1.72794099]
1311,[0.23015582]
1312,[1.53496011]
1313,[1.63600441]
1314,[2.09539514]
1315,[1.8447101]
1316,[1.61644306]
1317,[0.49889301]
1318,[1.88261647]
1319,[0.55034194]
1320,[1.96062638]
1321,[1.34589085]
1322,[0.56194918]
1323,[1.27445204]
1324,[0.49045145]
1325,[0.99515183]
1326,[1.17870743]
1327,[0.17584017]
1328,[1.71915508]
1329,[1.98123426]
1330,[0.40029384]
1331,[1.42329936]
1332,[0.98114884]
1333,[2.18168337]
1334,[0.14930714]
1335,[0.28191243]
1336,[0.81335992]
1337,[1.62557885]
1338,[0.7041994]
1339,[0.550666]
1340,[0.23206192]
1341,[1.68554873]
1342,[0.99752083]
1343,[2.41960292]
1344,[1.98402696]
1345,[0.88321342]
1346,[0.07532335]
1347,[1.84760388]
1348,[0.75853047]
1349,[1.71376583]
1350,[2.30573351]
1351,[0.75881393]
1352,[2.46056902]
1353,[1.48464357]
1354,[0.17112908]
1355,[2.49110329]
1356,[0.94816748]
1357,[1.60400326]
1358,[1.57866439]
1359,[1.2401364]
1360,[2.4025966]
1361,[1.43138728]
1362,[1.57343887]
1363,[1.58922842]
